grid,positionOrder,laps_pct,driver_age,driver_championship_position,driver_championship_wins
0.8333333333333333,0.4347826086956522,1.0,0.2926374650512581,0.6538461538461539,0.0
0.6666666666666666,0.5217391304347826,0.9848484848484848,0.21921921921921916,0.46153846153846156,0.0
0.4583333333333333,0.0,1.0,0.5087501294397845,0.0,0.10526315789473684
0.3333333333333333,0.5652173913043479,0.6164383561643836,0.5693279486382934,0.2307692307692308,0.05263157894736842
0.29166666666666663,0.17391304347826086,1.0,0.3121052086569328,0.5384615384615385,0.0
0.08333333333333333,0.34782608695652173,1.0,0.7057057057057057,0.15384615384615385,0.10526315789473684
0.375,0.34782608695652173,0.9824561403508772,0.2065858962410686,0.3076923076923077,0.0
0.125,0.08695652173913043,1.0,0.8044941493217359,0.07692307692307693,0.0
0.25,0.08695652173913043,1.0,0.39908874391633,0.07692307692307693,0.05263157894736842
0.5833333333333333,0.4782608695652174,0.981132075471698,0.7251734493113804,0.5384615384615385,0.0
0.375,0.3913043478260869,1.0,0.5458216837527181,0.34615384615384615,0.0
0.20833333333333331,0.30434782608695654,1.0,0.8083255669462566,0.07692307692307693,0.0
0.5416666666666666,0.8260869565217391,0.2272727272727272,0.5750232991612301,0.19230769230769232,0.05263157894736842
0.4583333333333333,0.21739130434782608,1.0,0.16723620171896036,0.2692307692307693,0.0
0.20833333333333331,0.7391304347826086,0.1428571428571428,0.0848089468779123,0.19230769230769232,0.0
0.16666666666666666,0.08695652173913043,1.0,0.35746090918504714,0.038461538461538464,0.05263157894736842
0.41666666666666663,0.30434782608695654,0.9859154929577464,0.9306202754478619,0.576923076923077,0.0
0.6666666666666666,0.4782608695652174,0.9827586206896552,0.5560733146940045,0.5000000000000001,0.0
0.5833333333333333,0.782608695652174,0.056338028169014,0.19985502744123418,0.11538461538461539,0.0
0.75,0.6956521739130435,0.9772727272727272,0.5075075075075075,0.7307692307692308,0.0
0.125,0.08695652173913043,1.0,0.5215905560733147,0.038461538461538464,0.2631578947368421
0.16666666666666666,0.043478260869565216,1.0,0.36936936936936937,0.15384615384615385,0.0
0.125,0.8260869565217391,0.2676056338028169,0.7421559490525007,0.19230769230769232,0.0
0.5833333333333333,0.5217391304347826,0.9821428571428572,0.13461737599668644,0.5384615384615385,0.0
0.20833333333333331,0.7391304347826086,0.4285714285714285,0.18763591177384265,0.11538461538461539,0.0
0.7083333333333333,0.5652173913043479,0.6714285714285714,0.711608159884022,0.46153846153846156,0.0
0.5416666666666666,0.30434782608695654,1.0,0.36491664077870967,0.5000000000000001,0.0
0.625,0.5652173913043479,0.981132075471698,0.28797763280521893,0.6153846153846154,0.0
0.16666666666666666,0.08695652173913043,1.0,0.8175416796106452,0.07692307692307693,0.05263157894736842
0.25,0.13043478260869565,1.0,0.4345034689862275,0.11538461538461539,0.10526315789473684
0.5833333333333333,0.30434782608695654,1.0,0.2435538987263125,0.34615384615384615,0.0
