grid,positionOrder,points,laps,quali_position,driver_season_points,constructor_race_points,total_pit_stops
-0.3333333333333333,-0.25,0.0,0.3953488372093023,-1.875,0.75,0.0,0.0
-0.5,-0.16666666666666666,0.0,0.3953488372093023,-2.125,0.3125,0.0,0.0
0.75,-0.08333333333333333,0.0,0.3953488372093023,-0.375,0.0,0.4,0.0
-0.08333333333333333,0.0,0.0,0.3953488372093023,-1.5,0.75,1.2,0.0
0.5833333333333334,0.08333333333333333,0.0,0.37209302325581395,-0.75,-0.0625,0.2,0.0
0.5,0.16666666666666666,0.0,-0.046511627906976744,-0.5,-0.1875,0.0,0.0
0.08333333333333333,0.25,0.0,-0.16279069767441862,-1.25,0.25,0.0,0.0
-0.5833333333333334,0.3333333333333333,0.0,-0.20930232558139536,-2.25,0.375,0.0,0.0
0.3333333333333333,0.4166666666666667,0.0,-0.23255813953488372,-0.875,-0.1875,0.0,0.0
-0.6666666666666666,0.5,0.0,-0.7906976744186046,-2.375,2.0,0.8,0.0
-0.8333333333333334,0.5833333333333334,0.0,-0.7906976744186046,-2.625,2.1875,0.0,0.0
0.4166666666666667,0.6666666666666666,0.0,-0.9302325581395349,-0.625,-0.1875,0.0,0.0
-0.75,-0.9166666666666666,5.0,0.3953488372093023,-2.5,2.8125,3.6,0.0
-0.8333333333333334,-0.8333333333333334,4.0,0.3953488372093023,-2.625,2.5,3.6,0.0
-0.5833333333333334,-0.75,3.0,0.3953488372093023,-2.125,0.9375,1.2,0.0
-0.08333333333333333,-0.6666666666666666,2.5,0.3953488372093023,-2.0,1.0625,1.0,0.0
-0.5,-0.5833333333333334,2.0,0.3953488372093023,-1.875,2.6875,0.8,0.0
-0.4166666666666667,-0.5,1.5,0.3953488372093023,-1.75,0.9375,0.6,0.0
-0.16666666666666666,-0.4166666666666667,1.0,0.3953488372093023,-1.375,-0.0625,0.6,0.0
-0.6666666666666666,-0.3333333333333333,0.5,0.3953488372093023,-2.25,0.4375,0.6,0.0
-0.3333333333333333,-0.25,0.0,0.3953488372093023,-1.625,0.1875,0.6,0.0
0.16666666666666666,-0.16666666666666666,0.0,0.3953488372093023,-2.375,2.1875,1.0,0.0
-0.25,-0.08333333333333333,0.0,0.3953488372093023,-1.5,0.125,1.2,0.0
0.08333333333333333,0.0,0.0,0.3953488372093023,-1.125,0.125,0.0,0.0
0.0,0.08333333333333333,0.0,0.3953488372093023,-1.25,1.5625,0.8,0.0
0.75,0.16666666666666666,0.0,0.37209302325581395,-0.5,0.125,0.0,0.0
0.3333333333333333,0.25,0.0,0.37209302325581395,-0.75,0.25,0.0,0.0
0.6666666666666666,0.3333333333333333,0.0,0.37209302325581395,-0.875,0.3125,0.0,0.0
0.25,0.4166666666666667,0.0,0.37209302325581395,-1.0,-0.0625,0.0,0.0
0.5,0.5,0.0,0.37209302325581395,-0.375,-0.1875,0.0,0.0
0.5833333333333334,0.5833333333333334,0.0,0.37209302325581395,-0.25,-0.1875,0.0,0.0
0.4166666666666667,0.6666666666666666,0.0,-0.8604651162790697,-0.625,0.0,0.0,0.0
-0.5833333333333334,-0.9166666666666666,5.0,0.16279069767441862,-2.25,2.8125,2.8,0.0
-0.5,-0.8333333333333334,4.0,0.16279069767441862,-2.125,2.0625,1.6,0.0
0.4166666666666667,-0.75,3.0,0.16279069767441862,-0.75,0.5,1.2,0.0
-0.6666666666666666,-0.6666666666666666,2.5,0.13953488372093023,-2.375,2.8125,1.0,0.0
-0.8333333333333334,-0.5833333333333334,2.0,0.13953488372093023,-2.625,1.3125,2.8,0.0
-0.4166666666666667,-0.5,1.5,0.13953488372093023,-2.0,0.625,0.6,0.0
0.25,-0.4166666666666667,1.0,0.13953488372093023,-1.0,1.0625,0.4,0.0
0.3333333333333333,-0.3333333333333333,0.5,0.13953488372093023,-0.875,0.3125,0.2,0.0
0.75,-0.25,0.0,0.13953488372093023,-0.5,0.3125,0.2,0.0
-0.75,-0.16666666666666666,0.0,0.13953488372093023,-2.5,0.9375,0.0,0.0
0.16666666666666666,-0.08333333333333333,0.0,0.13953488372093023,-1.125,-0.0625,0.0,0.0
0.08333333333333333,0.0,0.0,0.13953488372093023,-1.25,0.125,0.4,0.0
-0.16666666666666666,0.08333333333333333,0.0,0.11627906976744186,-1.625,2.8125,1.0,0.0
-0.08333333333333333,0.16666666666666666,0.0,-0.32558139534883723,-1.5,2.6875,1.6,0.0
0.5,0.25,0.0,-0.3488372093023256,-0.625,0.0,1.2,0.0
-0.3333333333333333,0.3333333333333333,0.0,-0.4186046511627907,-1.875,-0.0625,0.6,0.0
0.6666666666666666,0.4166666666666667,0.0,-0.8604651162790697,-0.25,-0.1875,0.0,0.0
0.5833333333333334,0.5,0.0,-1.0,-0.375,-0.1875,0.0,0.0
-0.25,0.5833333333333334,0.0,-1.2325581395348837,-1.75,0.125,0.0,0.0
